prefix,bits,registry,vendor
001BC507A,36,MA-S,Servicios Electronicos Industriales Berbel s.l.
001BC507B,36,MA-S,QCORE Medical
001BC507C,36,MA-S,head
001BC507D,36,MA-S,Greatcom AG
001BC507E,36,MA-S,Bio Molecular System Pty Ltd
001BC507F,36,MA-S,Hitechlab Inc
001BC5080,36,MA-S,LUMINO GmbH
001BC5081,36,MA-S,"WonATech Co., Ltd."
001BC5082,36,MA-S,TGS Geophysical Company (UK) Limited
001BC5083,36,MA-S,DIWEL
001BC5084,36,MA-S,Applied Innovations Research LLC
001BC5085,36,MA-S,"Oberon microsystems, Inc."
001BC5086,36,MA-S,CAST Group of Companies Inc.
001BC5087,36,MA-S,Onnet Technologies and Innovations LLC
001BC5088,36,MA-S,UAB Kitron
001BC5089,36,MA-S,"SIGNATURE CONTROL SYSTEMS, INC."
001BC508A,36,MA-S,Topicon
001BC508B,36,MA-S,Nistica
001BC508C,36,MA-S,Triax A/S
001BC508D,36,MA-S,EUREK  SRL
001BC508E,36,MA-S,TrendPoint Systems
001BC508F,36,MA-S,Unilever R&amp;D
001BC5090,36,MA-S,Seven Solutions S.L
001BC5091,36,MA-S,3green ApS
001BC5092,36,MA-S,"Arnouse Digital Devices, Corp."
001BC5093,36,MA-S,"Ambient Devices, Inc."
001BC5094,36,MA-S,reelyActive
001BC5095,36,MA-S,PREVAC sp. z o.o.
001BC5096,36,MA-S,Sanstreak Corp.
001BC5097,36,MA-S,Plexstar Inc.
001BC5098,36,MA-S,"Cubic Systems, Inc."
001BC5099,36,MA-S,UAB Kitron
001BC509A,36,MA-S,Shenzhen Guang Lian Zhi Tong Limited
001BC509B,36,MA-S,YIK Corporation
001BC509C,36,MA-S,MECCALTE SPA
001BC509D,36,MA-S,Navitar Inc
001BC509E,36,MA-S,K+K Messtechnik GmbH
001BC509F,36,MA-S,ENTE Sp. z o.o.
001BC50A0,36,MA-S,Silvair
001BC50A1,36,MA-S,"Hangzhou Zhiping Technology Co., Ltd."
001BC50A2,36,MA-S,Hettich Benelux
001BC50A3,36,MA-S,"P A Network Laboratory Co.,Ltd"
001BC50A4,36,MA-S,RADMOR S.A.
001BC50A5,36,MA-S,Tesla Controls
001BC50A6,36,MA-S,Balter Security GmbH
001BC50A7,36,MA-S,L.G.L. Electronics S.p.a.
001BC50A8,36,MA-S,Link Precision
001BC50A9,36,MA-S,Elektrometal SA
001BC50AA,36,MA-S,Senceive Ltd
001BC50AB,36,MA-S,Evondos Oy
001BC50AC,36,MA-S,AVnu Alliance
001BC50AD,36,MA-S,"Tierra Japan Co.,Ltd"
001BC50AE,36,MA-S,Techlan Reti s.r.l.
001BC50AF,36,MA-S,Enerwise Solutions Ltd.
001BC50B0,36,MA-S,J-D.COM
001BC50B1,36,MA-S,Roslen Eco-Networking Products
001BC50B2,36,MA-S,SKODA ELECTRIC a.s.
001BC50B3,36,MA-S,FSM Solutions Limited
001BC50B4,36,MA-S,COBAN SRL
001BC50B5,36,MA-S,Exibea AB
001BC50B6,36,MA-S,VEILUX INC.
001BC50B7,36,MA-S,"Autelis, LLC"
001BC50B8,36,MA-S,Private
001BC50B9,36,MA-S,"Denki Kogyo Company, Limited"
001BC50BA,36,MA-S,NT MICROSYSTEMS
001BC50BB,36,MA-S,Triax A/S
001BC50BC,36,MA-S,"kuwatec, Inc."
001BC50BD,36,MA-S,"Bridge Diagnostics, Inc."
001BC50BE,36,MA-S,YESpay International Ltd
001BC50BF,36,MA-S,"TN Core Co.,Ltd."
001BC50C0,36,MA-S,"Digital Loggers, Inc."
