prefix,bits,registry,vendor
70B3D590B,36,MA-S,Matrix Switch Corporation
70B3D590C,36,MA-S,ANTEK GmbH
70B3D590D,36,MA-S,Modtronix Engineering
70B3D590E,36,MA-S,Maytronics Ltd.
70B3D590F,36,MA-S,DTRON Communications (Pty) Ltd
70B3D5910,36,MA-S,"Eginity, Inc."
70B3D5911,36,MA-S,Equatel
70B3D5912,36,MA-S,VERTEL DIGITAL PRIVATE LIMITED
70B3D5913,36,MA-S,"Shenzhen Riitek Technology Co.,Ltd"
70B3D5914,36,MA-S,Contec Americas Inc.
70B3D5915,36,MA-S,"DHK Storage, LLC"
70B3D5916,36,MA-S,"Techno Mathematical Co.,Ltd"
70B3D5917,36,MA-S,KSJ Co.Ltd
70B3D5918,36,MA-S,Glova Rail A/S
70B3D5919,36,MA-S,Thesycon Software Solutions GmbH & Co. KG
70B3D591A,36,MA-S,"Fujian Landfone Information Technology Co.,Ltd"
70B3D591B,36,MA-S,Dolotron d.o.o.
70B3D591C,36,MA-S,Alere Technologies AS
70B3D591D,36,MA-S,Cubitech
70B3D591E,36,MA-S,Creotech Quantum SA
70B3D591F,36,MA-S,"JSC ""InformInvestGroup"""
70B3D5920,36,MA-S,SLAT
70B3D5921,36,MA-S,QDevil
70B3D5922,36,MA-S,Adcole Space
70B3D5923,36,MA-S,eumig industrie-TV GmbH.
70B3D5924,36,MA-S,Meridian Technologies Inc
70B3D5925,36,MA-S,Diamante Lighting Srl
70B3D5926,36,MA-S,Advice
70B3D5927,36,MA-S,LG Electronics
70B3D5928,36,MA-S,Done Design Inc
70B3D5929,36,MA-S,OutSys
70B3D592A,36,MA-S,Miravue
70B3D592B,36,MA-S,"ENTEC Electric & Electronic Co., LTD."
70B3D592C,36,MA-S,DISMUNTEL SAL
70B3D592D,36,MA-S,"Suzhou Wansong Electric Co.,Ltd"
70B3D592E,36,MA-S,Medical Monitoring Center OOD
70B3D592F,36,MA-S,SiFive Inc
70B3D5930,36,MA-S,The Institute of Mine Seismology
70B3D5931,36,MA-S,"MARINE INSTRUMENTS, S.A."
70B3D5932,36,MA-S,Rohde&Schwarz Topex SA
70B3D5933,36,MA-S,SARL S@TIS
70B3D5934,36,MA-S,RBS Netkom GmbH
70B3D5935,36,MA-S,Sensor Developments
70B3D5936,36,MA-S,"FARO TECHNOLOGIES, INC."
70B3D5937,36,MA-S,TATTILE SRL
70B3D5938,36,MA-S,JETI Technische Instrumente GmbH
70B3D5939,36,MA-S,Invertek Drives Ltd
70B3D593A,36,MA-S,"Braemar Manufacturing, LLC"
70B3D593B,36,MA-S,"Changchun FAW Yanfeng Visteon Automotive Electronics.,Ltd."
70B3D593C,36,MA-S,Televic Rail GmbH
70B3D593D,36,MA-S,Elmeasure India Pvt Ltd
70B3D593E,36,MA-S,Systems With Intelligence Inc.
70B3D593F,36,MA-S,"Vision Sensing Co., Ltd."
70B3D5940,36,MA-S,Paradigm Technology Services B.V.
70B3D5941,36,MA-S,Triax A/S
70B3D5942,36,MA-S,TruTeq Devices (Pty) Ltd
70B3D5943,36,MA-S,Abbott Medical Optics Inc.
70B3D5944,36,MA-S,Chromateq
70B3D5945,36,MA-S,Symboticware Incorporated
70B3D5946,36,MA-S,"GREATWALL Infotech Co., Ltd."
70B3D5947,36,MA-S,"Checkbill Co,Ltd."
70B3D5948,36,MA-S,VISION SYSTEMS AURTOMOTIVE (SAFETY TECH)
70B3D5949,36,MA-S,National Radio & Telecommunication Corporation - NRTC
70B3D594A,36,MA-S,"SHENZHEN WISEWING INTERNET TECHNOLOGY CO.,LTD"
70B3D594B,36,MA-S,RF Code
70B3D594C,36,MA-S,Honeywell/Intelligrated
70B3D594D,36,MA-S,SEASON DESIGN TECHNOLOGY
70B3D594E,36,MA-S,"BP Lubricants USA, Inc."
70B3D594F,36,MA-S,MART NETWORK SOLUTIONS LTD
70B3D5950,36,MA-S,CMT Medical technologies
70B3D5951,36,MA-S,Trident Systems Inc
70B3D5952,36,MA-S,REQUEA
70B3D5953,36,MA-S,"Spectrum Techniques, LLC"
70B3D5954,36,MA-S,Dot System S.r.l.
70B3D5955,36,MA-S,"Dynacard Co., Ltd."
70B3D5956,36,MA-S,"AeroVision Avionics, Inc."
70B3D5957,36,MA-S,EA Elektroautomatik GmbH & Co. KG
70B3D5958,36,MA-S,pureLiFi Ltd
70B3D5959,36,MA-S,"Zulex International Co.,Ltd."
70B3D595A,36,MA-S,Sigmann Elektronik GmbH
70B3D595B,36,MA-S,SRS Group s.r.o.
70B3D595C,36,MA-S,Wilson Electronics
70B3D595D,36,MA-S,GIORDANO CONTROLS SPA
70B3D595E,36,MA-S,BLOCKSI LLC
70B3D595F,36,MA-S,WiFi Nation Ltd
70B3D5960,36,MA-S,HORIZON TELECOM
70B3D5961,36,MA-S,TASK SISTEMAS DE COMPUTACAO LTDA
70B3D5962,36,MA-S,Senquire Pte. Ltd
70B3D5963,36,MA-S,Triax A/S
70B3D5964,36,MA-S,Visility
70B3D5965,36,MA-S,"LINEAGE POWER PVT LTD.,"
70B3D5966,36,MA-S,dA Tomato Limited
70B3D5967,36,MA-S,TATTILE SRL
70B3D5968,36,MA-S,LGM Ingénierie
70B3D5969,36,MA-S,Emtel System Sp. z o.o.
70B3D596A,36,MA-S,Anello Photonics
70B3D596B,36,MA-S,FOCAL-JMLab
70B3D596C,36,MA-S,Weble Sàrl
70B3D596D,36,MA-S,MSB Elektronik und Gerätebau GmbH
70B3D596E,36,MA-S,Myostat Motion Control Inc
70B3D596F,36,MA-S,4CAM GmbH
70B3D5970,36,MA-S,Bintel AB
70B3D5971,36,MA-S,RCH ITALIA SPA
70B3D5972,36,MA-S,AixControl GmbH
70B3D5973,36,MA-S,"Autonomic Controls, Inc."
70B3D5974,36,MA-S,Jireh Industries Ltd.
70B3D5975,36,MA-S,Coester Automação Ltda
70B3D5976,36,MA-S,Atonarp Micro-Systems India Pvt. Ltd.
70B3D5977,36,MA-S,Engage Technologies
70B3D5978,36,MA-S,Satixfy Israel Ltd.
70B3D5979,36,MA-S,eSMART Technologies SA
70B3D597A,36,MA-S,Orion Corporation
70B3D597B,36,MA-S,WIKA Alexander Wiegand SE & Co. KG
70B3D597C,36,MA-S,Nu-Tek Power Controls and Automation
70B3D597D,36,MA-S,RCH SPA
70B3D597E,36,MA-S,Public Joint Stock Company Morion
70B3D597F,36,MA-S,"BISTOS.,Co.,Ltd"
70B3D5980,36,MA-S,Beijing Yourong Runda Rechnology Development Co.Ltd.
70B3D5981,36,MA-S,Zamir Recognition Systems Ltd.
70B3D5982,36,MA-S,"3S - Sensors, Signal Processing, Systems GmbH"
70B3D5983,36,MA-S,Havis Inc.
70B3D5984,36,MA-S,Sanmina Israel
70B3D5985,36,MA-S,Burk Technology
70B3D5986,36,MA-S,Aplex Technology Inc.
70B3D5987,36,MA-S,AXIS CORPORATION
70B3D5988,36,MA-S,Arris
70B3D5989,36,MA-S,DCNS
70B3D598A,36,MA-S,vision systems safety tech
70B3D598B,36,MA-S,Richard Paul Russell Ltd
70B3D598C,36,MA-S,University of Wisconsin Madison - Department of High Energy Physics
70B3D598D,36,MA-S,Motohaus Powersports Limited
70B3D598E,36,MA-S,Autocom Diagnostic Partner AB
70B3D598F,36,MA-S,Spaceflight Industries
70B3D5990,36,MA-S,Energy Wall
70B3D5991,36,MA-S,Javasparrow Inc.
70B3D5992,36,MA-S,KAEONIT
70B3D5993,36,MA-S,ioThings
70B3D5994,36,MA-S,KeFF Networks
70B3D5995,36,MA-S,LayTec AG
70B3D5996,36,MA-S,XpertSea Solutions inc.
70B3D5997,36,MA-S,ProTom International
70B3D5998,36,MA-S,Kita Kirmizi Takim Bilgi Guvenligi Danismanlik ve Egitim A.S.
70B3D5999,36,MA-S,LOGICUBE INC
70B3D599A,36,MA-S,"KEVIC. inc,"
70B3D599B,36,MA-S,RCH ITALIA SPA
70B3D599C,36,MA-S,Enerwise Solutions Ltd.
70B3D599D,36,MA-S,Opsys-Tech
70B3D599E,36,MA-S,Trinity College Dublin
70B3D599F,36,MA-S,Confed Holding B.V.
70B3D59A0,36,MA-S,ELDES
70B3D59A1,36,MA-S,ITS Industrial Turbine Services GmbH
70B3D59A2,36,MA-S,O-Net Communications(Shenzhen)Limited
70B3D59A3,36,MA-S,"Shanghai Hourui Technology Co., Ltd."
70B3D59A4,36,MA-S,Nordmann International GmbH
70B3D59A5,36,MA-S,Softel
70B3D59A6,36,MA-S,QUNU LABS PRIVATE LIMITED
70B3D59A7,36,MA-S,Honeywell
70B3D59A8,36,MA-S,"Egag, LLC"
70B3D59A9,36,MA-S,"PABLO AIR Co., LTD"
70B3D59AA,36,MA-S,Tecsys do Brasil Industrial Ltda
70B3D59AB,36,MA-S,Groupe Paris-Turf
70B3D59AC,36,MA-S,"Suzhou Sapa Automotive Technology Co.,Ltd"
70B3D59AD,36,MA-S,Fortuna Impex Pvt ltd
70B3D59AE,36,MA-S,Volansys technologies pvt ltd
70B3D59AF,36,MA-S,"Shanghai Brellet Telecommunication Technology Co., Ltd."
70B3D59B0,36,MA-S,Clearly IP Inc
70B3D59B1,36,MA-S,Aplex Technology Inc.
70B3D59B2,36,MA-S,"CONTINENT, Ltd"
70B3D59B3,36,MA-S,K&J Schmittschneider AG
70B3D59B4,36,MA-S,MyoungSung System
70B3D59B5,36,MA-S,Ideetron b.v.
70B3D59B6,36,MA-S,Intercomp S.p.A.
70B3D59B7,36,MA-S,Itronics Ltd
70B3D59B8,36,MA-S,Loma Systems s.r.o.
70B3D59B9,36,MA-S,Aethera Technologies
70B3D59BA,36,MA-S,ATIM Radiocommunication
70B3D59BB,36,MA-S,"Jinga-hi, Inc."
70B3D59BC,36,MA-S,"Radian Research, Inc."
70B3D59BD,36,MA-S,Signal Processing Devices Sweden AB
70B3D59BE,36,MA-S,Izome
70B3D59BF,36,MA-S,Xiris Automation Inc.
70B3D59C0,36,MA-S,Schneider Displaytechnik GmbH
70B3D59C1,36,MA-S,"Zeroplus Technology Co.,Ltd."
70B3D59C2,36,MA-S,"Sportsbeams Lighting, Inc."
70B3D59C3,36,MA-S,Sevensense Robotics AG
70B3D59C4,36,MA-S,aelettronica group srl
70B3D59C5,36,MA-S,"LINEAGE POWER PVT LTD.,"
70B3D59C6,36,MA-S,Overspeed SARL
70B3D59C7,36,MA-S,"YUYAMA MFG Co.,Ltd"
70B3D59C8,36,MA-S,"Applied Systems Engineering, Inc."
70B3D59C9,36,MA-S,PK Sound
70B3D59CA,36,MA-S,KOMSIS ELEKTRONIK SISTEMLERI SAN. TIC. LTD.STI
70B3D59CB,36,MA-S,Alligator Communications
70B3D59CC,36,MA-S,Zaxcom Inc
70B3D59CD,36,MA-S,WEPTECH elektronik GmbH
70B3D59CE,36,MA-S,Terragene S.A
70B3D59CF,36,MA-S,IOTIZE
70B3D59D0,36,MA-S,RJ45 Technologies
70B3D59D1,36,MA-S,OS42 UG (haftungsbeschraenkt)
70B3D59D2,36,MA-S,ACS MOTION CONTROL
70B3D59D3,36,MA-S,Communication Technology Ltd.
70B3D59D4,36,MA-S,Wartsila Voyage Oy
70B3D59D5,36,MA-S,Southern Tier Technologies
70B3D59D6,36,MA-S,Crown Solar Power Fencing Systems
70B3D59D7,36,MA-S,KM OptoElektronik GmbH
70B3D59D8,36,MA-S,"JOLANYEE  Technology Co., Ltd."
70B3D59D9,36,MA-S,ATX Networks Corp
70B3D59DA,36,MA-S,Blake UK
70B3D59DB,36,MA-S,"CAS Medical Systems, Inc"
70B3D59DC,36,MA-S,"Shanghai Daorech Industry Developmnet Co.,Ltd"
70B3D59DD,36,MA-S,HumanEyes Technologies Ltd.
70B3D59DE,36,MA-S,System 11 Sp. z o.o.
70B3D59DF,36,MA-S,DOBE Computing
70B3D59E0,36,MA-S,"ES Industrial Systems Co., Ltd."
70B3D59E1,36,MA-S,"Bolide Technology Group, Inc."
70B3D59E2,36,MA-S,Ofil USA
70B3D59E3,36,MA-S,LG Electronics
70B3D59E4,36,MA-S,K&A Electronics Inc.
70B3D59E5,36,MA-S,Antek Technology
70B3D59E6,36,MA-S,BLOCKSI LLC
70B3D59E7,36,MA-S,"Xiamen Maxincom Technologies Co., Ltd."
70B3D59E8,36,MA-S,Zerospace ICT Services B.V.
70B3D59E9,36,MA-S,LiveCopper Inc.
70B3D59EA,36,MA-S,"Blue Storm Associates, Inc."
70B3D59EB,36,MA-S,Preston Industries dba PolyScience
70B3D59EC,36,MA-S,eSoftThings
70B3D59ED,36,MA-S,Benchmark Electronics BV
70B3D59EE,36,MA-S,Lockheed Martin - THAAD
70B3D59EF,36,MA-S,"Cottonwood Creek Technologies, Inc."
70B3D59F0,36,MA-S,"FUJICOM Co.,Ltd."
70B3D59F1,36,MA-S,Rheinmetall Electronics UK Ltd
70B3D59F2,36,MA-S,Acorde Technologies
70B3D59F3,36,MA-S,IEEE Registration Authority
70B3D59F4,36,MA-S,Tband srl
70B3D59F5,36,MA-S,Vickers Electronics Ltd
70B3D59F6,36,MA-S,Edgeware AB
70B3D59F7,36,MA-S,Foerster-Technik GmbH
70B3D59F8,36,MA-S,Asymmetric Technologies
70B3D59F9,36,MA-S,Fluid Components Intl
70B3D59FA,36,MA-S,Ideas srl
70B3D59FB,36,MA-S,"Unicom Global, Inc."
70B3D59FC,36,MA-S,Truecom Telesoft Private Limited
70B3D59FD,36,MA-S,amakidenki
70B3D59FE,36,MA-S,"SURUGA SEIKI CO., LTD."
70B3D59FF,36,MA-S,Network Integrity Systems
70B3D5A00,36,MA-S,ATX NETWORKS LTD
70B3D5A01,36,MA-S,FeldTech GmbH
70B3D5A02,36,MA-S,GreenFlux
70B3D5A03,36,MA-S,Proemion GmbH
70B3D5A04,36,MA-S,Galea Electric S.L.
70B3D5A05,36,MA-S,Wartsila Voyage Oy
70B3D5A06,36,MA-S,Kopis Mobile LLC
70B3D5A07,36,MA-S,IoTrek Technology Private Limited
70B3D5A08,36,MA-S,BioBusiness
70B3D5A09,36,MA-S,Smart Embedded Systems
70B3D5A0A,36,MA-S,CAPSYS
70B3D5A0B,36,MA-S,ambiHome GmbH
70B3D5A0C,36,MA-S,Lumiplan Duhamel
70B3D5A0D,36,MA-S,Globalcom Engineering SPA
70B3D5A0E,36,MA-S,Vetaphone A/S
70B3D5A0F,36,MA-S,"OSAKI DATATECH CO., LTD."
70B3D5A10,36,MA-S,w-tec AG
70B3D5A11,36,MA-S,TRIOPTICS
70B3D5A12,36,MA-S,"QUERCUS TECHNOLOGIES, S.L."
70B3D5A13,36,MA-S,Uplevel Systems Inc
70B3D5A14,36,MA-S,aelettronica group srl
70B3D5A15,36,MA-S,Intercore GmbH
70B3D5A16,36,MA-S,devAIs s.r.l.
70B3D5A17,36,MA-S,Tunstall A/S
70B3D5A18,36,MA-S,Embedded Systems Lukasz Panasiuk
70B3D5A19,36,MA-S,Qualitronix Madrass Pvt Ltd
70B3D5A1A,36,MA-S,Nueon - The COR
70B3D5A1B,36,MA-S,Potter Electric Signal Co. LLC
70B3D5A1C,36,MA-S,MECA SYSTEM
70B3D5A1D,36,MA-S,Fluid Components Intl
70B3D5A1E,36,MA-S,Monnit Corporation
70B3D5A1F,36,MA-S,GlobalTest LLC
70B3D5A20,36,MA-S,Design For Life Systems
70B3D5A21,36,MA-S,PPI Inc.
70B3D5A22,36,MA-S,eSys Solutions Sweden AB
70B3D5A23,36,MA-S,LG Electronics
70B3D5A24,36,MA-S,Booz Allen Hamilton
70B3D5A25,36,MA-S,PulseTor LLC
70B3D5A26,36,MA-S,"Hear Gear, Inc."
70B3D5A27,36,MA-S,HDL da Amazônia Industria Eletrônica Ltda
70B3D5A28,36,MA-S,PEEK TRAFFIC
70B3D5A29,36,MA-S,QIAGEN Instruments AG
70B3D5A2A,36,MA-S,Redwood Systems
70B3D5A2B,36,MA-S,Clever Devices
70B3D5A2C,36,MA-S,"TLV CO., LTD."
70B3D5A2D,36,MA-S,Project Service S.r.l.
70B3D5A2E,36,MA-S,"Kokam Co., Ltd"
70B3D5A2F,36,MA-S,Botek Systems AB
70B3D5A30,36,MA-S,SHEN ZHEN HUAWANG TECHNOLOGY CO; LTD
70B3D5A31,36,MA-S,Wise Ally Holdings Limited
70B3D5A32,36,MA-S,Toughdog Security Systems
70B3D5A33,36,MA-S,TIAMA
70B3D5A34,36,MA-S,RCH ITALIA SPA
70B3D5A35,36,MA-S,Sicon srl
70B3D5A36,36,MA-S,"Beijing DamingWuzhou Science&Technology Co., Ltd."
70B3D5A37,36,MA-S,"MITSUBISHI HEAVY INDUSTRIES THERMAL SYSTEMS, LTD."
70B3D5A38,36,MA-S,Aditec GmbH
70B3D5A39,36,MA-S,SPETSSTROY-SVYAZ Ltd
70B3D5A3A,36,MA-S,"EPSOFT Co., Ltd"
70B3D5A3B,36,MA-S,Grace Design/Lunatec LLC
70B3D5A3C,36,MA-S,Wave Music Ltd
70B3D5A3D,36,MA-S,SMART IN OVATION GmbH
70B3D5A3E,36,MA-S,"Vigorcloud Co., Ltd."
70B3D5A3F,36,MA-S,PHPower Srl
70B3D5A40,36,MA-S,STRACK LIFT AUTOMATION GmbH
70B3D5A41,36,MA-S,THELIGHT Luminary for Cine and TV S.L.
70B3D5A42,36,MA-S,iMAR Navigation GmbH
70B3D5A43,36,MA-S,OLEDCOMM
70B3D5A44,36,MA-S,"FSR, INC."
70B3D5A45,36,MA-S,Viper Innovations Ltd
70B3D5A46,36,MA-S,Foxconn 4Tech
70B3D5A47,36,MA-S,KANOA INC
70B3D5A48,36,MA-S,Applied Satellite Engineering
70B3D5A49,36,MA-S,Unipower AB
70B3D5A4A,36,MA-S,"Beijing Arrow SEED Technology Co,.Ltd."
70B3D5A4B,36,MA-S,McKay Brothers LLC
70B3D5A4C,36,MA-S,Alere Technologies AS
70B3D5A4D,36,MA-S,"LANSITEC TECHNOLOGY CO., LTD"
70B3D5A4E,36,MA-S,Array Technologies Inc.
70B3D5A4F,36,MA-S,Weltek Technologies Co. Ltd.
70B3D5A50,36,MA-S,LECIP CORPORATION
70B3D5A51,36,MA-S,RF Code
70B3D5A52,36,MA-S,APEX Stabilizations GmbH
70B3D5A53,36,MA-S,GS Industrie-Elektronik GmbH
70B3D5A54,36,MA-S,provedo
70B3D5A55,36,MA-S,"Embest Technology Co., Ltd"
70B3D5A56,36,MA-S,DORLET SAU
70B3D5A57,36,MA-S,PCSC
70B3D5A58,36,MA-S,MCQ TECH GmbH
70B3D5A59,36,MA-S,Muuntosähkö Oy - Trafox
70B3D5A5A,36,MA-S,RCS Energy Management Ltd
70B3D5A5B,36,MA-S,Christ Elektronik GmbH
70B3D5A5C,36,MA-S,Molekule
70B3D5A5D,36,MA-S,Position Imaging
70B3D5A5E,36,MA-S,ConectaIP Tecnologia S.L.
70B3D5A5F,36,MA-S,Daatrics LTD
70B3D5A60,36,MA-S,Pneumax S.p.A.
70B3D5A61,36,MA-S,Omsk Manufacturing Association named after A.S. Popov
70B3D5A62,36,MA-S,Environexus
70B3D5A63,36,MA-S,DesignA Electronics Limited
70B3D5A64,36,MA-S,Newshine
70B3D5A65,36,MA-S,CREATIVE
70B3D5A66,36,MA-S,Trapeze Software Group Inc
70B3D5A67,36,MA-S,"Gstar Creation Co .,Ltd"
70B3D5A68,36,MA-S,"Zhejiang Zhaolong Interconnect Technology Co.,Ltd"
70B3D5A69,36,MA-S,Leviathan Solutions Ltd.
70B3D5A6A,36,MA-S,"Privafy, Inc"
70B3D5A6B,36,MA-S,xmi systems
70B3D5A6C,36,MA-S,Controles S.A.
70B3D5A6D,36,MA-S,Metek Meteorologische Messtechnik GmbH
70B3D5A6E,36,MA-S,JSC Electrical Equipment Factory
70B3D5A6F,36,MA-S,8Cups
70B3D5A70,36,MA-S,Gateview Technologies
70B3D5A71,36,MA-S,Samwell International Inc
70B3D5A72,36,MA-S,"Business Marketers Group, Inc."
70B3D5A73,36,MA-S,MobiPromo
70B3D5A74,36,MA-S,Sadel S.p.A.
70B3D5A75,36,MA-S,Taejin InfoTech
70B3D5A76,36,MA-S,Pietro Fiorentini
70B3D5A77,36,MA-S,SPX Radiodetection
70B3D5A78,36,MA-S,"Bionics co.,ltd."
70B3D5A79,36,MA-S,NOREYA Technology e.U.
70B3D5A7A,36,MA-S,Fluid Management Technology
70B3D5A7B,36,MA-S,SmartSafe
70B3D5A7C,36,MA-S,Transelektronik Messgeräte GmbH
70B3D5A7D,36,MA-S,Prior Scientific Instruments Ltd
70B3D5A7E,36,MA-S,QUICCO SOUND Corporation
70B3D5A7F,36,MA-S,AUDIO VISUAL DIGITAL SYSTEMS
70B3D5A80,36,MA-S,EVCO SPA
70B3D5A81,36,MA-S,Sienda New Media Technologies GmbH
70B3D5A82,36,MA-S,Telefrank GmbH
70B3D5A83,36,MA-S,"SHENZHEN HUINENGYUAN Technology Co., Ltd"
70B3D5A84,36,MA-S,SOREL GmbH
70B3D5A85,36,MA-S,exceet electronics GesmbH
70B3D5A86,36,MA-S,Divigraph (Pty) LTD
70B3D5A87,36,MA-S,Tornado Modular Systems
70B3D5A88,36,MA-S,Shangdong Bosure Automation Technology Ltd
70B3D5A89,36,MA-S,"GBS COMMUNICATIONS, LLC"
70B3D5A8A,36,MA-S,JSC VIST Group
70B3D5A8B,36,MA-S,Giant Power Technology Biomedical Corporation
70B3D5A8C,36,MA-S,CYG CONTRON CO.LTD
70B3D5A8D,36,MA-S,Code Blue Corporation
70B3D5A8E,36,MA-S,OMESH CITY GROUP
70B3D5A8F,36,MA-S,VK Integrated Systems
70B3D5A90,36,MA-S,ERA a.s.
70B3D5A91,36,MA-S,IDEAL INDUSTRIES Ltd t/a Casella
70B3D5A92,36,MA-S,Grossenbacher Systeme AG
70B3D5A93,36,MA-S,"Mes Communication Co., Ltd"
70B3D5A94,36,MA-S,ETA Technology Pvt Ltd
70B3D5A95,36,MA-S,DEUTA-WERKE GmbH
70B3D5A96,36,MA-S,Östling Marking Systems GmbH
70B3D5A97,36,MA-S,"Bizwerks, LLC"
70B3D5A98,36,MA-S,Pantec AG
70B3D5A99,36,MA-S,Bandelin electronic GmbH & Co. KG
70B3D5A9A,36,MA-S,Amphenol Advanced Sensors
70B3D5A9B,36,MA-S,OSMOZIS
70B3D5A9C,36,MA-S,Veo Technologies
70B3D5A9D,36,MA-S,VITEC MULTIMEDIA
70B3D5A9E,36,MA-S,Argon ST
70B3D5A9F,36,MA-S,Master Meter Inc.
70B3D5AA0,36,MA-S,"Simple Works, Inc."
70B3D5AA1,36,MA-S,"Shenzhen Weema TV Technology Co.,Ltd."
70B3D5AA2,36,MA-S,eumig industrie-TV GmbH.
70B3D5AA3,36,MA-S,"LINEAGE POWER PVT LTD.,"
70B3D5AA4,36,MA-S,"Pullnet Technology,S.L."
70B3D5AA5,36,MA-S,MB connect line GmbH Fernwartungssysteme
70B3D5AA6,36,MA-S,Proximus
70B3D5AA7,36,MA-S,ATEME
70B3D5AA8,36,MA-S,"West-Com Nurse Call Systems, Inc."
70B3D5AA9,36,MA-S,Datamars SA
70B3D5AAA,36,MA-S,Xemex NV
70B3D5AAB,36,MA-S,QUISS GmbH
70B3D5AAC,36,MA-S,SensoTec GmbH
70B3D5AAD,36,MA-S,Bartec GmbH
70B3D5AAE,36,MA-S,Nuviz Oy
70B3D5AAF,36,MA-S,Exi Flow Measurement Ltd
70B3D5AB0,36,MA-S,OSR R&D ISRAEL LTD
70B3D5AB1,36,MA-S,ISRV Zrt.
70B3D5AB2,36,MA-S,"Power Electronics Espana, S.L."
70B3D5AB3,36,MA-S,MICAS AG
70B3D5AB4,36,MA-S,SYS TEC electronic GmbH
70B3D5AB5,36,MA-S,BroadSoft Inc
70B3D5AB6,36,MA-S,SmartD Technologies Inc
70B3D5AB7,36,MA-S,SIGLEAD INC
70B3D5AB8,36,MA-S,HORIBA ABX SAS
70B3D5AB9,36,MA-S,Dynamic Controls
70B3D5ABA,36,MA-S,CL International
70B3D5ABB,36,MA-S,David Horn Communications Ltd
70B3D5ABC,36,MA-S,BKM-Micronic Richtfunkanlagen GmbH
70B3D5ABD,36,MA-S,wtec GmbH
70B3D5ABE,36,MA-S,MART NETWORK SOLUTIONS LTD
70B3D5ABF,36,MA-S,AGR International
70B3D5AC0,36,MA-S,RITEC
70B3D5AC1,36,MA-S,AEM Singapore Pte. Ltd.
70B3D5AC2,36,MA-S,"Wisebox.,Co.Ltd"
70B3D5AC3,36,MA-S,Novoptel GmbH
70B3D5AC4,36,MA-S,"Lexi Devices, Inc."
70B3D5AC5,36,MA-S,"ATOM GIKEN Co.,Ltd."
70B3D5AC6,36,MA-S,SMTC Corporation
70B3D5AC7,36,MA-S,vivaMOS
70B3D5AC8,36,MA-S,Heartland.Data Inc.
70B3D5AC9,36,MA-S,Trinity Solutions LLC
70B3D5ACA,36,MA-S,Tecnint HTE SRL
70B3D5ACB,36,MA-S,TATTILE SRL
70B3D5ACC,36,MA-S,Schneider Electric Motion USA
70B3D5ACD,36,MA-S,CRDE
70B3D5ACE,36,MA-S,FARHO DOMOTICA SL
70B3D5ACF,36,MA-S,"APG Cash Drawer, LLC"
70B3D5AD0,36,MA-S,REO AG
70B3D5AD1,36,MA-S,Sensile Technologies SA
70B3D5AD2,36,MA-S,Wart-Elektronik
70B3D5AD3,36,MA-S,"WARECUBE,INC"
70B3D5AD4,36,MA-S,INVISSYS
70B3D5AD5,36,MA-S,Birdland Audio
70B3D5AD6,36,MA-S,Lemonade Lab Inc
70B3D5AD7,36,MA-S,Octopus IoT srl
70B3D5AD8,36,MA-S,Euklis by GSG International
70B3D5AD9,36,MA-S,aelettronica group srl
70B3D5ADA,36,MA-S,Private
70B3D5ADB,36,MA-S,RF Code
70B3D5ADC,36,MA-S,SODAQ
70B3D5ADD,36,MA-S,GHL Systems Berhad
70B3D5ADE,36,MA-S,ISAC SRL
70B3D5ADF,36,MA-S,Seraphim Optronics Ltd
70B3D5AE0,36,MA-S,"AnyComm.Co.,Ltd."
70B3D5AE1,36,MA-S,DimoCore Corporation
70B3D5AE2,36,MA-S,Wartsila Voyage Oy
70B3D5AE3,36,MA-S,"Zhejiang Wellsun Electric Meter Co.,Ltd"
70B3D5AE4,36,MA-S,Nuance Hearing Ltd.
70B3D5AE5,36,MA-S,"BeatCraft, Inc."
70B3D5AE6,36,MA-S,Ya Batho Trading (Pty) Ltd
70B3D5AE7,36,MA-S,E-T-A Elektrotechnische Apparate GmbH
70B3D5AE8,36,MA-S,Innoknight
70B3D5AE9,36,MA-S,Cari Electronic
70B3D5AEA,36,MA-S,BBR Verkehrstechnik GmbH
70B3D5AEB,36,MA-S,Association Romandix
70B3D5AEC,36,MA-S,Paratec Ltd.
70B3D5AED,36,MA-S,Cubitech
70B3D5AEE,36,MA-S,DiTEST Fahrzeugdiagnose GmbH
70B3D5AEF,36,MA-S,Baumtec GmbH
70B3D5AF0,36,MA-S,SEASON DESIGN TECHNOLOGY
70B3D5AF1,36,MA-S,Emka Technologies
70B3D5AF2,36,MA-S,True Networks Ltd.
70B3D5AF3,36,MA-S,"New Japan Radio Co., Ltd"
70B3D5AF4,36,MA-S,TATTILE SRL
70B3D5AF5,36,MA-S,Net And Print Inc.
70B3D5AF6,36,MA-S,S.C.E. srl
70B3D5AF7,36,MA-S,DimoSystems BV
70B3D5AF8,36,MA-S,boekel
70B3D5AF9,36,MA-S,Critical Link LLC
70B3D5AFA,36,MA-S,Power Security Systems Ltd.
70B3D5AFB,36,MA-S,"Shanghai Tianhe Automation Instrumentation Co., Ltd."
70B3D5AFC,36,MA-S,BAE Systems
70B3D5AFD,36,MA-S,dongsheng
70B3D5AFE,36,MA-S,MESOTECHNIC
70B3D5AFF,36,MA-S,digital-spice
70B3D5B00,36,MA-S,HORIBA ABX SAS
70B3D5B01,36,MA-S,G.S.D GROUP INC.
